,created_at,text
0,2020/12/16 09:39:20,寒すぎてスマホがバグって0%になった
1,2020/12/16 09:38:49,寒すぎてサミー・ヘイガーになった
2,2020/12/16 09:38:38,寒すぎてサムスになったわね♨️
3,2020/12/16 09:38:24,寒すぎてサム8になった
4,2020/12/16 09:37:27,寒すぎてSAMになったわね🕺
5,2020/12/16 09:37:19,寒すぎてサムになったわね...
6,2020/12/16 09:36:36,寒すぎてサムギョプサルになった
7,2020/12/16 09:36:26,寒すぎてサムスになったわね
8,2020/12/16 09:35:41,昨日は私の可愛いクロードが突然老けたショックと、大人になったマリアンヌちゃんの可愛さに心が大渋滞でした。今日も寒すぎて死にそうだけど仕事頑張る。
9,2020/12/16 09:35:40,寒すぎてサムスになったわね…
10,2020/12/16 09:35:24,寒すぎてサムゲタンになったわね
11,2020/12/16 09:35:18,寒すぎてサムスアランになった。
12,2020/12/16 09:35:10,寒すぎてサムになったし🥪 眠すぎてネムノキにもなった🏜
13,2020/12/16 09:34:48,寒すぎてホットコーヒーがアイスになった……
14,2020/12/16 09:34:06,寒すぎて無理になった
15,2020/12/16 09:33:29,サムゥイ！！！！ 寒すぎて…………サムス・アランになったわね https://t.co/GursPa5oH8
16,2020/12/16 09:32:58,寒すぎてサムゲタンになったわね。
17,2020/12/16 09:32:56,寒すぎてサムゲタンになった
18,2020/12/16 09:32:03,寒すぎてステイサムになったわ
19,2020/12/16 09:31:37,寒すぎて侍戦隊シンケンジャーになったわね
20,2020/12/16 09:31:31,寒すぎて林修になった
21,2020/12/16 09:31:07,寒すぎてサブスクリプションになったわね
22,2020/12/16 09:30:42,寒すぎてサムスになったけど(インターネット爆笑ギャグ)ジュピターフレグランスつけたし久々の出社お仕事頑張ります……
23,2020/12/16 09:29:01,寒すぎてサムハラ神社になったわね https://t.co/XE1pgAKuri
24,2020/12/16 09:28:14,寒すぎて寒川神社になったわね
25,2020/12/16 09:27:15,コンポタの簡単な作り方〜。 とうもろこしをレンチンして、スライス玉ねぎ炒めてコンソメと水入れてちょっと煮る。んで、冷ましてミキサーに入れて牛乳入れてあっためれば完成(* ᐕ) 寒すぎて飲みたくなった。
26,2020/12/16 09:26:47,寒すぎて毎朝ねぼうしてる 10分で支度できるようになった
27,2020/12/16 09:26:45,くっそ寒いっす 寒すぎて杉になったわね
28,2020/12/16 09:26:22,幼稚園、コートは送り迎えのときのみで、園内持ち込み禁止だけど、寒すぎて今週のみＯＫになった。 けど、バスでは息子ともう１人しかコート着てなくて、みんな元気😂
29,2020/12/16 09:24:43,寒すぎてhttps://t.co/ujYDgdkMa4になった
30,2020/12/16 09:24:17,寒すぎてサムスになったわね
31,2020/12/16 09:23:58,寒すぎてサム・ライミになったわね
32,2020/12/16 09:23:37,寒すぎてサムシングエルスになったわね
33,2020/12/16 09:23:22,寒すぎて佐村河内になったので何も聞こえない
34,2020/12/16 09:23:20,寒すぎて無理になった
35,2020/12/16 09:23:07,寒すぎてサムになったわ…♂
36,2020/12/16 09:22:55,寒すぎてサムシングエルスになった
37,2020/12/16 09:22:36,寒すぎてサミュエルエトーになった。
38,2020/12/16 09:21:51,寒すぎてサムスになった
39,2020/12/16 09:21:43,仕事休みになったからランクエやろｗっつってPCの前に座ったら寒すぎてサムスになった
40,2020/12/16 09:21:05,ぴあの寒すぎて弾けない( .. ) あと花に亡霊弾くことになったぁ♡ 季節外れすぎてわろた 好きだからいいけど(*´╰╯`๓)♬
41,2020/12/16 09:20:51,寒すぎて………………サムスになったわね………………
42,2020/12/16 09:20:12,寒すぎてジェイソン・ステイサムになった
43,2020/12/16 09:19:08,寒すぎて侍になった
44,2020/12/16 09:19:07,寒すぎてゼロスーツサムスになった
45,2020/12/16 09:17:38,寒すぎてゼロスーツサムスになったわね…w
46,2020/12/16 09:16:49,寒すぎて佐村河内守になったわね…
47,2020/12/16 09:16:28,ほんま急に寒なったなー！ 風が強すぎて寒さ10倍増しやわ❄️
48,2020/12/16 09:16:20,寒すぎてゴッサムシティになった #shindanmaker https://t.co/vjsgmlbt0j ついでにJOKERにもなりそう🃏
49,2020/12/16 09:15:34,寒すぎてサムになったわね…………
50,2020/12/16 09:14:55,寒すぎてサムゲタンになった #shindanmaker https://t.co/1Z26gAW8bn
51,2020/12/16 09:14:53,寒すぎて手がボロボロになった……(:3_ヽ)_
52,2020/12/16 09:14:51,寒すぎて外出た瞬間宇宙？？？？？？？？？？？になった
53,2020/12/16 09:14:31,寒すぎてサム（マルファスの親友）になったわね
54,2020/12/16 09:13:46,寒すぎて福岡ソフトブリガロンホークスになった
55,2020/12/16 09:13:12,寒すぎてハッサムになった
56,2020/12/16 09:12:54,寒すぎてサムスになった
57,2020/12/16 09:12:42,寒すぎてthumbになったわね
58,2020/12/16 09:12:29,寒すぎてサムスアランになったはね....
59,2020/12/16 09:12:18,寒すぎてサムスン電子になった
60,2020/12/16 09:12:03,寒すぎてキンタマがライチになったわよ https://t.co/iYk31pnYSu
61,2020/12/16 09:12:00,寒すぎて　サムになったわ
62,2020/12/16 09:09:54,寒すぎてSamsungになった
63,2020/12/16 09:09:43,寒すぎてサムスになったゾイ
64,2020/12/16 09:09:42,おはぬーー 今日も今日とて寒すぎぃ、、、  寒すぎて、サムス・アランになったわね…🐍
65,2020/12/16 09:08:55,寒すぎてサムスンになった
66,2020/12/16 09:08:33,寒すぎてサムスになった
67,2020/12/16 09:08:18,寒すぎてサムライ・キャリバーになった #shindanmaker https://t.co/FYgpurzWUK
68,2020/12/16 09:07:58,寒すぎて侍戦隊シンケンジャーになった
69,2020/12/16 09:07:42,寒すぎてサムスになった
70,2020/12/16 09:07:40,寒すぎてサムライミになった
71,2020/12/16 09:07:33,寒すぎてサミュエル・L・ジャクソンになった
72,2020/12/16 09:06:23,寒すぎてサム・トットマンになった
73,2020/12/16 09:06:12,寒すぎて寒天になった
74,2020/12/16 09:06:10,トイレ行って手洗った後が寒すぎてダイヤ4になったおやすみはまだ早い
75,2020/12/16 09:06:10,□エーデルワイス□ おはようございます。 朝のお掃除の時間にノアールがじっとこちらを見てくるので何かと聞いたら 「寒すぎて侍になったわね」 と言うので、さすがの私も刀を抜きました。 寒い日々が続きますね。 皆様もお風邪など召されませんように。
76,2020/12/16 09:06:04,寒すぎて寒・ポーター・ブリッジズになった
77,2020/12/16 09:05:38,寒すぎて起きるの遅くなったのに呑気に出汁とって味噌汁作ってたら電車乗り過ごすところだった(乗れました)
78,2020/12/16 09:05:13,しかし、ここまで冷えると原付じゃダメだな。 寒すぎてサムになったときに逃げるところがない
79,2020/12/16 09:04:51,寒すぎてハッサムになったわね
80,2020/12/16 09:04:47,寒すぎて体動かそうとツーステきてたらカモシくんのピンバとラブパトエールがバッグから外れてた。 しかも中に人いなかったのにいつの間にか先生いて恥ずかしくてあったかくなった😂
81,2020/12/16 09:03:54,洗濯物干したけど寒すぎて手凍るわ 昨日から急に寒くなったよな仙台マジで防寒しないとやばいな
